"","respondent_id","USBORN","DEGREE","SS048M1","SS044","SS045","SS046","SS047","SS003_1","SS004_1","SS008_1","SS005_1","SS006_1","SS007_1","deathexpense_special","usborn","degree","deathexpense_usd"
"435","38015_20",1,3,5,5000,NA,NA,NA,3,3500,4,NA,NA,NA,0,"us-born","College degree",5000
"436","39107_20",1,2,5,5000,NA,NA,NA,3,2000,4,NA,NA,NA,0,"us-born","High school diploma",5000
"437","39184_20",1,2,5,3000,NA,NA,NA,2,239,4,NA,NA,NA,0,"us-born","High school diploma",3000
"438","39196_40",1,0,5,8000,NA,NA,NA,3,4500,4,NA,NA,NA,0,"us-born","No degree",8000
"439","39430_10",1,4,5,50,NA,NA,NA,2,1626,4,NA,NA,NA,0,"us-born","College degree",50
"440","39437_10",1,2,5,2200,NA,NA,NA,3,1700,4,NA,NA,NA,0,"us-born","High school diploma",2200
"441","39937_20",1,2,5,4500,NA,NA,NA,1,NA,NA,NA,NA,NA,0,"us-born","High school diploma",4500
"442","40111_40",5,0,2,5000,NA,NA,NA,3,1700,4,NA,NA,NA,1,"foreign","No degree",5000
"443","40260_20",1,2,3,10000,NA,NA,NA,3,1500,4,NA,NA,NA,1,"us-born","High school diploma",10000
"444","40376_20",1,2,2,12000,NA,NA,NA,8,NA,NA,NA,NA,NA,1,"us-born","High school diploma",12000
"445","40651_41",1,4,5,0,NA,NA,NA,2,99998,NA,751,999,NA,0,"us-born","College degree",0
"446","40669_31",1,3,2,17000,NA,NA,NA,2,1600,4,NA,NA,NA,1,"us-born","College degree",17000
"447","40905_10",1,4,5,2000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","College degree",2000
"448","40908_10",1,0,5,0,NA,NA,NA,2,1349,4,NA,NA,NA,0,"us-born","No degree",0
"449","41059_10",1,2,5,13000,NA,NA,NA,3,1100,4,NA,NA,NA,0,"us-born","High school diploma",13000
"450","41067_40",1,2,5,0,NA,NA,NA,3,2500,4,NA,NA,NA,0,"us-born","High school diploma",0
"451","42290_20",5,0,5,10000,NA,NA,NA,3,764,4,NA,NA,NA,0,"foreign","No degree",10000
"452","42645_10",1,2,5,500,NA,NA,NA,2,500,4,NA,NA,NA,0,"us-born","High school diploma",500
"453","42814_10",1,5,5,3800,NA,NA,NA,2,850,4,NA,NA,NA,0,"us-born","Postgraduate degree",3800
"454","42938_11",1,1,5,0,NA,NA,NA,3,3575,4,NA,NA,NA,0,"us-born","GED",0
"455","43295_12",1,2,5,5000,NA,NA,NA,3,1900,4,NA,NA,NA,0,"us-born","High school diploma",5000
"456","43512_10",1,0,3,8000,NA,NA,NA,2,235,4,NA,NA,NA,1,"us-born","No degree",8000
"457","43564_30",1,0,3,8000,NA,NA,NA,2,780,4,NA,NA,NA,1,"us-born","No degree",8000
"458","43628_20",1,0,5,99998,5000,5000,NA,5,NA,NA,NA,NA,NA,0,"us-born","No degree",5000
"459","43912_20",1,2,5,12000,NA,NA,NA,1,NA,NA,NA,NA,NA,0,"us-born","High school diploma",12000
"460","44104_10",1,2,5,9000,NA,NA,NA,2,900,4,NA,NA,NA,0,"us-born","High school diploma",9000
"461","44681_40",1,0,5,8000,NA,NA,NA,2,1100,4,NA,NA,NA,0,"us-born","No degree",8000
"462","45749_20",1,2,5,3000,NA,NA,NA,2,1000,4,NA,NA,NA,0,"us-born","High school diploma",3000
"463","45786_10",1,2,5,5000,NA,NA,NA,2,900,4,NA,NA,NA,0,"us-born","High school diploma",5000
